NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL
,mjupiter,au,day,,deg,jd,m/s,,,,
GJ 625 b,0.0089295,0.0783624,14.628,0.13,343.1,,1.67,Suarez Mascareno 2017,http://adsabs.harvard.edu/abs/2017A%26A...605A..92S,Suarez Mascareno 2017,http://adsabs.harvard.edu/abs/2017A%26A...605A..92S
HD 116029 b,1.9075,1.64869,670,0,40,2455220,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 219828 b,0.0622185,0.0515012,3.8334999,0,0,2453898.629,7,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M
HD 1237 b,3.3748,0.494668,133.71001,0.511,290.7,2451545.86,167,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375..205N
HD 4308 b,0.0477376,0.119192,15.56,0,359,2453314.7,4.07,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U
HD 24040 b,4.02189,4.92406,3668,0.04,154,2454308,47.4,Boisse 2012,http://adsabs.harvard.edu/abs/2012A%26A...545A..55B,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W
HD 59686 A b,6.91979,1.08598,299.36,0.05,121,,136.9,Ortiz 2016,http://adsabs.harvard.edu/abs/2016A%26A...595A..55O,Ortiz 2016,http://adsabs.harvard.edu/abs/2016A%26A...595A..55O
HD 200964 b,1.94873,1.64347,613.8,0.04,288,2454900,34.5,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J,Johnson 2011,http://adsabs.harvard.edu/abs/2011AJ....141...16J
HD 147018 b,2.12711,0.238855,44.236,0.4686,335.97,2454459.49,145.33,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S
HD 218566 b,0.212872,0.687282,225.7,0.3,36,2450360,8.3,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M
HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,2453535.817118141,7.22,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C,Correia 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..521C
HD 141937 b,9.4752,1.50087,653.21997,0.41,187.72,2451847.38,234.5,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U,Udry 2002,http://adsabs.harvard.edu/abs/2002A%26A...390..267U
HD 156668 b,0.0130582,0.0499846,4.6455,0,90,2454718.57,1.89,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H,Howard 2011,http://adsabs.harvard.edu/abs/2011ApJ...726...73H
GJ 649 b,0.325341,1.13179,598.3,0.3,352,2452876,12.4,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..149J
HD 132406 b,5.60495,1.98227,974,0.34,214,2453474,115,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D
HD 38529 c,12.2603,3.6002,2146.0503,0.355094,17.9023,2452255.921,169.033,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Fischer 2003,http://adsabs.harvard.edu/abs/2003ApJ...586.1394F
HD 126614 A b,0.385706,2.36847,1244,0.41,243,2453808,7.3,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H
HD 215152 b,0.00572025,0.0576393,5.75999,0,90,,0.772,Delisle 2018,http://adsabs.harvard.edu/abs/2018A%26A...614A.133D,Delisle 2018,http://adsabs.harvard.edu/abs/2018A%26A...614A.133D
HIP 67537 b,,4.9058,2556.5,0.59,119.6,2456290.6,,Jones 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A..58J,Jones 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A..58J
HD 177830 b,1.31967,1.13872,410.1,0.096,189,2450254,32.64,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V
HD 42012 b,1.6121,1.66108,857.5,0,90,2455386.2,39,Rey 2017,http://adsabs.harvard.edu/abs/2017A%26A...601A...9R,Rey 2017,http://adsabs.harvard.edu/abs/2017A%26A...601A...9R
HD 38283 b,0.338157,1.02382,363.2,0.41,219,2450802.6,10,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...732...31T,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...732...31T
HD 217786 b,13.1868,2.3791,1319,0.4,100,2456053,261,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M
HD 32518 b,3.34549,0.595162,157.54,0.01,306.11,2452950.29,115.83,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D
HD 145934 b,2.28382,4.6069,2730,0.053,215,2451430,22.9,Feng 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...22F,Feng 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...22F
HD 73267 b,3.06257,2.19849,1260,0.256,229.1,2451821.7,64.29,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HD 147513 b,1.17965,1.30958,528.40002,0.26,282,2451123,29.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 72659 b,3.1741,4.75375,3658,0.22,260.7,2455351,41,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B
BD +14 4559 b,1.51929,0.775866,268.94,0.29,87.64,2453293.71,55.21,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N,Niedzielski 2009,http://adsabs.harvard.edu/abs/2009ApJ...707..768N
HD 1605 b,0.96903,1.48605,577.9,0.078,26,2453443.3,19.8,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
HD 197037 b,0.807324,2.07477,1035.7,0.22,298,2451353.1,15.5,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R
HD 70642 b,1.90944,3.18072,2068,0.034,205,2451350,30.4,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Carter 2003,http://adsabs.harvard.edu/abs/2003ApJ...593L..43C
HD 17674 b,0.875702,1.41961,623.8,0,90,2455904.8,21.1,Rey 2017,http://adsabs.harvard.edu/abs/2017A%26A...601A...9R,Rey 2017,http://adsabs.harvard.edu/abs/2017A%26A...601A...9R
M 67 YBP 1194 b,0.346328,0.0715732,6.958,0.24,98.62,2455978.8,37.72,Brucalassi 2014,http://adsabs.harvard.edu/abs/2014A%26A...561L...9B,Brucalassi 2014,http://adsabs.harvard.edu/abs/2014A%26A...561L...9B
HD 40307 c,0.0211468,0.0800702,9.62,0,0,2454551.53,2.47,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...493..639M
HD 142 b,1.3057,1.04292,350.3,0.26,303,2451963,33.9,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2002,http://adsabs.harvard.edu/abs/2002ApJ...571..528T
GJ 328 b,2.3,4.43476,4100,0.37,290,2454500,40,Robertson 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7640R,Robertson 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7640R
HD 67087 b,3.09805,1.08217,352.2,0.17,284.8,2450154.8,73.6,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H,Harakawa 2015,http://adsabs.harvard.edu/abs/2015ApJ...806....5H
HD 102329 b,4.47808,1.80892,778.1,0.211,178,2455096,84.8,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
BD -06 1339 c,0.168248,0.436631,125.94,0.31,41,2455265.2,9.1,Lo Curto 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..59L,Lo Curto 2013,http://adsabs.harvard.edu/abs/2013A%26A...551A..59L
HD 159868 b,2.20004,2.29553,1178.4,0.01,350,2453435,38.3,Wittenmyer 2012,http://adsabs.harvard.edu/abs/2012ApJ...753..169W,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O
HD 114783 b,1.10505,1.15987,493.7,0.144,86,2453806,31.9,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V
GJ 581 e,0.00613456,0.028459,3.14945,0.32,236,2454750.31,1.96,Forveille 2011,http://xxx.lanl.gov/abs/1109.2505,Mayor 2009,http://adsabs.harvard.edu/abs/2009A%26A...507..487M
epsilon Ret b,1.37669,1.19471,428.1,0.06,216,2450836,32.2,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..410B
GJ 674 b,0.034879,0.0386657,4.6938,0.2,143,2453780.085,8.7,Bonfils 2007,http://adsabs.harvard.edu/abs/2007A%26A...474..293B,Bonfils 2007,http://adsabs.harvard.edu/abs/2007A%26A...474..293B
HD 7924 c,0.0248402,0.113438,15.299,0.098,27,2455583.619,2.31,Fulton 2015,http://adsabs.harvard.edu/abs/2015ApJ...805..175F,Fulton 2015,http://adsabs.harvard.edu/abs/2015ApJ...805..175F
HD 168443 c,17.3857,2.85281,1749.83,0.2113,64.87,2455599.9,297.7,Pilyavsky 2011 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2011ApJ...743..162P,Marcy 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..418M
HD 81040 b,6.87654,1.9372,1001.7,0.526,81.3,2452504,168,Sozzetti 2006,http://adsabs.harvard.edu/abs/2006A%26A...449..417S,Sozzetti 2006,http://adsabs.harvard.edu/abs/2006A%26A...449..417S
HD 208527 b,10.014,2.099,875.5,0.08,278,2450745.3,155.4,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L,Lee 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A...2L
GJ 163 c,0.0215524,0.125354,25.63058,0.099,3.962,2452922.2303,2.75,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B
HD 95089 b,1.12925,1.38575,507,0.157,317,2454983,23.5,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J
HD 114729 b,0.944758,2.10235,1114,0.167,93,2450520,18.8,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B
HD 100655 b,1.33352,0.682908,157.57,0.085,132,2453072.4,35.2,Omiya 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...34O,Omiya 2012,http://adsabs.harvard.edu/abs/2012PASJ...64...34O
HD 141399 c,1.33442,0.689382,201.99,0.048,-140,,44.2,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Vogt 2014,http://adsabs.harvard.edu/abs/2014ApJ...787...97V
HIP 65891 b,6.00119,2.80589,1084.5,0.13,355.5,2456014.8,64.9,Jones 2015,http://adsabs.harvard.edu/abs/2015A%26A...580A..14J,Jones 2015,http://adsabs.harvard.edu/abs/2015A%26A...580A..14J
HD 142415 b,1.66194,1.06061,386.29999,0.5,255,2451519,51.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 114386 b,1.3637,1.72685,937.70001,0.23,273,2450454,34.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 103197 b,0.0982431,0.249018,47.84,0,0,2454826,5.9,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M,Mordasini 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.111M
7 CMa b,2.43233,1.80264,763,0.14,12,2455520,44.9,Wittenmyer 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..184W,Wittenmyer 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..184W
HD 152581 b,1.51375,1.48938,689,0,321,2455320,36.6,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
HD 13908 c,5.13,2.03386,931,0.12,185,2456165,90.9,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
HD 125595 b,0.0416764,0.0809437,9.6737,0,90,2454435.23,4.79,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S
HIP 57274 c,0.410096,0.177758,32.03,0.05,356.2,2455785.208,32.4,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F,Fischer 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...21F
HD 93083 b,0.368176,0.476549,143.58,0.14,333.5,2453181.7,18.3,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L
HD 31253 b,0.501427,1.26054,466,0.3,244,2450660,12,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M,Meschiari 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..117M
HD 89744 b,8.18778,0.902604,256.78,0.673,195.1,2451505.5,271.6,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Korzennik 2000,http://adsabs.harvard.edu/abs/2000ApJ...533L.147K
HD 564 b,0.331101,1.20425,492.3,0.096,314,2455433,8.79,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M
HD 72892 b,4.91277,0.228745,39.475,0.423,344.3,,318.4,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J
HD 183263 c,3.47646,4.29488,3066,0.23873,344.598,2451970.94,46.32,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W
HD 192310 c,0.0736073,1.18358,525.8,0.32,110,2455311.915,2.27,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P,Pepe 2011,http://adsabs.harvard.edu/abs/2011A%26A...534A..58P
HD 1690 b,6.52644,1.36191,533,0.64,122,2454449,190,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M,Moutou 2011,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M
HD 28185 b,5.79721,1.02341,379,0.05,44,2454230.5,163.5,Minniti 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1424M,Santos 2001,http://adsabs.harvard.edu/abs/2001A%26A...379..999S
HIP 97233 b,19.8471,2.5395,1058.8,0.61,249.3,2455856.3,320.1,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J,Jones 2014,http://adsabs.harvard.edu/abs/2015A%26A...573A...3J
HD 23127 b,1.40487,2.31864,1214,0.44,190,2450229,27.5,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O
HD 154672 b,4.0077,0.602232,163.967,0.6,265,,176.3,Jenkins 2017,http://adsabs.harvard.edu/abs/2017MNRAS.466..443J,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L
gamma Leo A b,10.3722,1.29554,428.5,0.144,206.7,2451236,208.3,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H,Han 2010,http://adsabs.harvard.edu/abs/2010A%26A...509A..24H
HD 11506 b,4.7347,2.60488,1405,0.3,262,2453603,80,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F
tau Boo b,4.13,0.0480039,3.312433,0.023,90,2455652.108,466.4,Brogi 2012,http://adsabs.harvard.edu/abs/2012Natur.486..502B,Butler 1997,http://adsabs.harvard.edu/abs/1997ApJ...474L.115B
XO-2S c,1.371,0.47557,120.8,0.1528,264.5,2456408.1,57.68,Desidera 2014,http://adsabs.harvard.edu/abs/2014A%26A...567L...6D,Desidera 2014,http://adsabs.harvard.edu/abs/2014A%26A...567L...6D
HD 34445 b,0.790506,2.06642,1049,0.27,104,2453781,15.7,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H,Howard 2010,http://adsabs.harvard.edu/abs/2010ApJ...721.1467H
HD 125612 b,3.06805,1.3728,559.40487,0.45899,41.4902,2454894.84807,79.793,Lo Curto 2010 (corrected: priv. comm.),http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F
42 Dra b,3.73203,1.16693,479.1,0.38,218.7,2452757.4,110.5,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...499..935D
HIP 109600 b,2.68597,0.706259,232.08,0.163,-131.3,2456017.1,98.6,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H
HD 153950 b,2.74209,1.28031,499.4,0.34,308.2,2454502,69.15,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..513M
HD 16141 b,0.249652,0.355656,75.523,0.252,42,2450338,11.99,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2000,http://adsabs.harvard.edu/abs/2000ApJ...536L..43M
HIP 91258 b,1.068,0.0566534,5.0505,0.024,276,2456164.275,130.9,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
HD 204313 d,1.60642,3.94498,2831.6,0.28,247,2446376.9,23.7,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...50R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...50R
HD 50554 b,4.39876,2.26097,1224,0.444,7.4,2450646,91.5,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 2002,http://adsabs.harvard.edu/abs/2002PASP..114..529F
HD 11964 c,0.0770689,0.226601,37.910254,0.301733,101.941,2454366.648,4.64578,Wright 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1084W,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W
HD 13189 b,7.12332,1.25186,471.6,0.27,160.7,2452327.9,173.3,Hatzes 2005,http://adsabs.harvard.edu/abs/2005A&A...437..743H,Hatzes 2005,http://adsabs.harvard.edu/abs/2005A&A...437..743H
HD 60532 b,1.0348,0.759258,201.3,0.28,351.9,2453987,29.3,Desort 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..883D,Desort 2008,http://adsabs.harvard.edu/abs/2008A%26A...491..883D
HD 104067 b,0.185935,0.264333,55.806,0,90,2454043.15,11.56,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S,Segransan 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..54S
HD 195019 b,3.57989,0.136688,18.20132,0.0138,231,2451015.5,271.5,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Fischer 1999,http://adsabs.harvard.edu/abs/1999PASP..111...50F
GJ 832 b,0.684002,3.56153,3657,0.08,246,2451211,15.4,Wittenmyer 2014,http://adsabs.harvard.edu/abs/2014ApJ...791..114W,Bailey 2009,http://adsabs.harvard.edu/abs/2009ApJ...690..743B
GJ 667 C b,0.0174951,0.0504277,7.1999,0.15,12,2454446.1,3.9,Robertson 2014,http://adsabs.harvard.edu/abs/2014ApJ...793L..24R,Bonfils 2011,http://adsabs.harvard.edu/abs/2013A%26A...549A.109B
alpha Ari b,1.71662,1.1296,380,0.25,89.16,2451213.52,41.1,Lee 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.134L,Lee 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.134L
YZ Cet c,0.00307976,0.0208968,3.06008,0,-159.8,2456843.19,1.68,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...605L..11A,Astudillo-Defru 2017,http://adsabs.harvard.edu/abs/2017A%26A...605L..11A
61 Vir b,0.016075,0.05006,4.215,0.12,105,2453367.2224322916,2.12,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V,Vogt 2010,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V
HD 210702 b,1.86459,1.17218,354.29,0.036,282.3,2454142.6,37.45,Bowler 2010,http://adsabs.harvard.edu/abs/2010ApJ...709..396B,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J
HD 220842 b,3.18484,0.740087,218.47,0.404,-134.9,2456624.8,108.1,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H,Hebrard 2016,http://adsabs.harvard.edu/abs/2016A%26A...588A.145H
alpha Cen B b,0.00354639,0.0418506,3.2357,0,0,2455280.17,0.51,Dumusque 2012,http://adsabs.harvard.edu/abs/2012Natur.491..207D,Dumusque 2012,http://adsabs.harvard.edu/abs/2012Natur.491..207D
mu Ara b,1.74552,1.5273,643.25,0.128,22,2452365.6,37.78,Pepe 2007,http://adsabs.harvard.edu/abs/2007A%26A...462..769P,Butler 2001,http://adsabs.harvard.edu/abs/2001ApJ...555..410B
TYC 1422-614-1 c,10,1.39588,559.3,0.048,130,2453190.5,233,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015A%26A...573A..36N,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015A%26A...573A..36N
HD 73526 c,2.4209,1.02831,377.8,0.14,13,2451126.0757555556,68,Tinney 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..594T,Tinney 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..594T
HD 108341 b,3.4773,2.00715,1129,0.85,190,2456261.39,144,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M,Moutou 2015,http://adsabs.harvard.edu/abs/2015A%26A...576A..48M
14 Her b,5.21486,2.93362,1773.4,0.369,22.6,2451372.7,90,Wittenmeyer 2007,http://adsabs.harvard.edu/abs/2007ApJ...654..625W,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B
HIP 79431 b,2.11299,0.358346,111.7,0.29,287.4,2454980.3,149.5,Apps 2010,http://adsabs.harvard.edu/abs/2010PASP..122..156A,Apps 2010,http://adsabs.harvard.edu/abs/2010PASP..122..156A
HD 66141 b,6.01,1.24152,480.5,0.07,22.1,2451320.8,146.2,Lee 2012,http://adsabs.harvard.edu/abs/2012A%26A...548A.118L,Lee 2012,http://adsabs.harvard.edu/abs/2012A%26A...548A.118L
HD 171238 b,2.60901,2.54268,1523,0.4,47,2455062,52.2,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S,Segransan 2010,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S
HIP 5158 b,1.42633,0.887919,345.72,0.52,252,2454580.49,57,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L,Lo Curto 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..48L
GJ 849 b,0.830886,2.35317,1882,0.04,355,2451488,22,Bonfils 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.109B,Butler 2006,http://adsabs.harvard.edu/abs/2006PASP..118.1685B
GJ 3341 b,0.0208212,0.0892579,14.207,0.31,42.32,2455622.7,3.04,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A,Astudillo-Defru 2015,http://adsabs.harvard.edu/abs/2015A%26A...575A.119A
HD 164922 b,0.357927,2.10091,1155,0.05,195,2451100,7.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
tau Gru b,1.2147,2.51797,1311,0.07,100,2450870,19.6,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Jones 2003,http://adsabs.harvard.edu/abs/2003MNRAS.341..948J
HD 96063 b,1.14167,1.11312,361.1,0,90,2455260,25.9,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J
gamma Lib b,1.0212,1.23874,415.2,0.21,187,2450041,22,Takarada 2018,http://adsabs.harvard.edu/abs/2018PASJ..tmp...64T,Takarada 2018,http://adsabs.harvard.edu/abs/2018PASJ..tmp...64T
HD 5608 b,1.47372,1.98519,792.6,0.19,269,2452327,23.5,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S,Sato 2012,http://adsabs.harvard.edu/abs/2012PASJ...64..135S
HD 80606 b,3.89024,0.447343,111.4367,0.934,300.6,2454424.857,472,Moutou 2009,http://adsabs.harvard.edu/abs/2009A%26A...498L...5M,Naef 2001,http://adsabs.harvard.edu/abs/2001A%26A...375L..27N
HD 86264 b,6.62738,2.84117,1475,0.7,306,2455172,132,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F,Fischer 2009,http://adsabs.harvard.edu/abs/2009ApJ...703.1545F
HD 176986 c,0.0281354,0.118715,16.8191,0.111,270,2455514.4,2.63,Suarez Mascareno 2018,http://adsabs.harvard.edu/abs/2018A%26A...612A..41S,Suarez Mascareno 2018,http://adsabs.harvard.edu/abs/2018A%26A...612A..41S
8 UMi b,1.52093,0.490206,93.4,0.06,91,2454108.5,46.1,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L,Lee 2015,http://adsabs.harvard.edu/abs/2015A%26A...584A..79L
HD 82943 c,1.58936,0.742283,219.3,0.425,133,2451851,54.4,Tan 2013,http://adsabs.harvard.edu/abs/2013ApJ...777..101T,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 216536 b,1.48058,0.608531,148.6,0.38,270,2453587,50,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015ApJ...803....1N,Niedzielski 2015,http://adsabs.harvard.edu/abs/2015ApJ...803....1N
